,count_x,title,poster,release_date,over_view
18,18,아리스 인 보더랜드,/t/p/w94_and_h141_bestv2/h1oWkmLITrlTePc2wbQBbRO70Wn.jpg,"12월 10, 2020","2020년 12월 Netflix에서 방영을 시작한 스릴러. 아소 하로의 동명의 만화를 원작으로 한다. 삶의 목적이라고는 없이 무의미한 세월을 보내며 비디오게임에 빠져 사는 젊은 남성. 그가 두 친구와 함께 이상한 세계에 들어간다. 이곳은 또 다른 도쿄, 치명적인 게임의 배경. 그들이 낯설고 이상한 도쿄에서 게임을 시작한다. 도쿄와 비슷하지만 도쿄는 아닌 그곳에서, 그들은 생존이 걸린 위험한 게임을 시작한다.  패배한 자에게는 죽음이 있을 뿐, 선택의 여지는 없고 게임은 계속된다. 승자만이 살아남는 이 곳에서 살고 싶다면 싸워야 한다."
19,19,매니페스트,/t/p/w94_and_h141_bestv2/uvCI5jOgqT3jLmUzFcYHQ35OJvQ.jpg,"9월 24, 2018","몬테고 비행기 828기가 사라지고 5년이 지난 어느 날 비행기가 다시 나타난다. 승객들은 모두 무사했지만 자신들이 알지 못하는 사이 5년이란 시간이 흘러버렸음을 알게 되고, 모든 것들이 변해버린 상황에 닥친 이야기"
20,20,1899,/t/p/w94_and_h141_bestv2/8KGvYHQNOamON6ufQGjyhkiVn1V.jpg,"11월 17, 2022",구대륙에서 신대륙으로 향하는 다국적 이주민들. 그러나 장밋빛 미래를 꿈꾸며 시작된 여정은 망망대해에서 또 다른 배 한 척에 오르면서 끔찍한 악몽으로 변한다. 이 배의 정체는 무엇인가.
21,21,오티스의 비밀 상담소,/t/p/w94_and_h141_bestv2/g2Os8JGYCEvBVrqW5WccNZ57NOD.jpg,"1월 11, 2019","소심한 소년 오티스의 대반전, 그가 아웃사이더 소녀와 함께 섹스 상담소를 연다. 성 상담사 엄마에게 귀동냥한 산지식을 모두 전수해드려요. 오티스는 절찬 상담 중!"
22,22,MH370: 비행기 실종 사건,/t/p/w94_and_h141_bestv2/8anIkfHEc87mOeoobYXkEwvwuOg.jpg,"3월  8, 2023","2014년 어느 날, 239명을 태운 항공기가 레이더에서 완전히 사라진다. 현대사의 최대 미스터리 중 하나로 남은 MH370편 실종 사건을 파헤친 다큐시리즈."
23,23,위쳐,/t/p/w94_and_h141_bestv2/5rPQiz9ql0KdlTr21WDcL85va3H.jpg,"12월 20, 2019","2019년 12월 Netflix에서 방영을 시작한 판타지물. 안제이 삽코프스키의 동명의 판타지 소설 시리즈를 원작으로 한다. 사람들에게 악마의 창조물, 돌연변이라 불리는 고독한 괴물 사냥꾼 리비아의 게롤트가 운명을 향해 머나먼 여정을 떠난다. 때로는 인간이 괴물보다 사악하고 잔인한 이 세상에서, 그는 자신이 있어야 할 자리를 찾고자 고군분투한다. 하지만 운명은 그를 두 여인에게로 인도한다. 강력한 힘을 지닌 여자 마법사와 위험한 비밀을 간직한 공주. 세 사람은 점점 불안해지는 대륙에서 살아나갈 방법을 배워야만 한다. 운명으로 묶인 그들의 싸움이 시작된다."
24,24,다머,/t/p/w94_and_h141_bestv2/f2PVrphK0u81ES256lw3oAZuF3x.jpg,"9월 21, 2022",범행 기간 10년 이상. 피해자만 무려 17명. 10대 남자아이들과 젊은 남성들을 노린 연쇄 살인범 제프리 다머. 그는 어떻게 그 오랜 세월 동안 살인을 저지를 수 있었을까?
25,25,바이킹스: 발할라,/t/p/w94_and_h141_bestv2/rDFy1fUU6OC3Mm0CLFB7u0fGwVN.jpg,"2월 25, 2022","2022년 2월 Netflix에서 방영을 시작한 역사물. 시대를 휩쓴 역대 최고의 바이킹들. 이들이 바이킹 시대의 새로운 서막을 연다. 전편의 결말 이후 100년이 지난 유럽 대륙. 변화의 소용돌이 속에서, 누구도 상상하지 못한 전설의 다음 이야기가 시작된다."
26,26,아프리칸 퀸: 은징가,/t/p/w94_and_h141_bestv2/261fvNbRB78p14bAERDqOrFtZ8J.jpg,"2월 15, 2023","드라마와 다큐멘터리가 혼합된 형식의 시리즈. 가족의 배신과 치열한 정쟁을 딛고 일어나, 오늘날의 앙골라 지역을 통치한 은징가 여왕의 이야기가 펼쳐진다."
27,27,샌드맨,/t/p/w94_and_h141_bestv2/hcdE2CUr3Y36KnRKuPUfltcrsUV.jpg,"8월  5, 2022","오랜 세월 감금당한 채 지내온 꿈의 군주 모르페우스.  빼앗긴 것들과 잃어버린 힘을 되찾기 위해,  그가 여러 세계를 가로지르는 새로운 여정을 시작한다.  유명 만화 시리즈를 각색한 작품. 원작자 닐 게이먼이 개발과 총괄 제작에 참여했으며, 톰 스터리지가 꿈의 군주로 출연한다."
28,28,아우터 뱅크스,/t/p/w94_and_h141_bestv2/rzL0aYsuaoqoYirfzzFSFKZNy3Y.jpg,"4월 15, 2020","가진 자와 못 가진 자들이 공유하는 섬, 아우터뱅크스. 이곳에서 실종된 아버지를 기다리는 존 B와 세 명의 친구가 작당한다. 사라진 보물선을 우리가 찾아내는 거야."
29,29,어른들의 거짓된 삶,/t/p/w94_and_h141_bestv2/ruQQ9tZMQtLC2rUL2TOMGFpt4fF.jpg,"1월  4, 2023",1990년대 나폴리. 어린이에서 청소년으로 넘어가는 중인 소녀 조반나. 과도기의 조반나는 나폴리의 다양한 면면들을 겪으며 자신의 진정한 모습을 찾아간다.
30,30,종이의 집,/t/p/w94_and_h141_bestv2/e4IK8bunUl8OiYyebFUuRKKHD4m.jpg,"5월  2, 2017","1명의 천재, 8명의 공범, 철저히 준비한 세기의 강도. 스페인 조폐국에서 인질극까지 벌인 이들은 과연 포위 경찰을 따돌리고 거액의 돈과 함께 달아날 수 있을까?"
31,31,스타워즈: 클론전쟁,/t/p/w94_and_h141_bestv2/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,"10월  3, 2008","어둠의 세력으로 인해 은하계 전체가 전쟁에 휩싸이고 제다이 기사단 역시 평화를 회복하기 위해 전투에 나선다. 그러나 점점 더 많은 행성들이 다크 사이드 포스의 손아귀에 빠져든다.  은하계의 미래가 달려있는 임무를 맡게 된 '아나킨’과 그의 제자 '아소카'. 둘은 은하계 범죄단의 수괴 '자바 더 헛'의 아들이 납치 당하자 그 아들을 구출하기 위해 떠난다.  한편, ‘오비완’과 ‘요다’는 클론군대를 이끌고 다크 사이드 포스 진영에 맞서 먼 훗날 전설로 기억될 클론전쟁을 시작하는데…"
32,32,지니 & 조지아,/t/p/w94_and_h141_bestv2/j1yqOSVVskSYpYreNT0VeD1S3Dq.jpg,"2월 24, 2021",새로운 마을에 정착했다. 이젠 새로운 인생을 살 수 있을까. 눈물겹게 노력하는 10대 소녀 지니와 그 애의 엄마 조지아. 하지만 조지아의 과거에 숨은 비밀이 그들의 미래를 위협한다.
33,33,보잭 홀스맨,/t/p/w94_and_h141_bestv2/pB9L0jAnEQLMKgexqCEocEW8TA.jpg,"8월 22, 2014","90년대 최고의 시트콤 스타였던 보잭은 과연 20년 후 어떤 모습으로 살고 있을까? 괴팍한 동물이지만 마음만은 비단결인 보잭. 아니, 비단까지는 아니고 명주 정도 되려나?"
34,34,다크,/t/p/w94_and_h141_bestv2/4e8FR7ORN7XtJm5TsGKGtyTQah6.jpg,"12월  1, 2017","어느 날, 아이가 사라졌다. 처음이 아니다. 3대를 이어온 미스터리, 절박하게 답을 찾으려는 네 가족. 현재와 과거가 얽힌 혼돈의 근원에는 무엇이 도사리고 있는 걸까."
35,35,은밀한 회사원,/t/p/w94_and_h141_bestv2/qwJUDMJ4i3KBYjeUFK9Js87iJEa.jpg,"10월 22, 2021",파충류 인간은? 진짜. 달 착륙 사건은? 가짜! 사람들 몰래 세상에 떠도는 음모론을 관리하는 직원들. 소심한 천재와 사회 부적응자 동료들의 은밀한 하루가 시작된다.
36,36,관음증 그녀,/t/p/w94_and_h141_bestv2/mA0Qx70TI7mubGkUx8ekrYfZFnz.jpg,"1월  1, 2023","뛰어난 재능을 갖춘, 관음증이 있는 해커. 성 노동자로 일하는 이웃이 주말여행을 떠난 뒤, 의도치 않게 위험한 수사에 휘말리고 마는데."
37,37,샤흐마란,/t/p/w94_and_h141_bestv2/1fKsga4dTxTRNFp1ktUWUa7P1Ib.jpg,"1월 20, 2023","객원 강사로 초빙받아 아다나에 오게 된 샤흐수. 이곳에 온 김에, 그녀는 서로 왕래 없이 살아온 외할아버지에게 이것저것 따져 묻고 싶다. 하지만 이내 어느 전설의 한가운데 떨어진 자신을 발견한다."
38,38,"러브, 데스 + 로봇",/t/p/w94_and_h141_bestv2/cRiDlzzZC5lL7fvImuSjs04SUIJ.jpg,"3월 15, 2019","2019년 3월 Netflix에서 방영을 시작한 애니메이션. 미스터리의 세계, 공포의 괴물, 스릴 넘치는 작전, 그리고 코믹한 연기. 세상의 모든 이야기와 장르를 담았다. 18개의 SF 단편 연작으로 구성된 옴니버스 구조로, 매 에피소드마다 다른 감독을 기용해 다양한 화풍과 분위기를 연출한다. 시리즈 전체적으로 로봇이 인간과 동등한 존재, 혹은 초월적인 존재로 그려지며 자연 앞에서 인간중심의 오만함을 버려야 한다는 생태학적 시각이 로봇, 혹은 인공지능으로까지 확장된다. 관습의 전복, 일상과 단절을 화려한 비주얼을 통해 경험해 보자."
39,39,Marvel 퍼니셔,/t/p/w94_and_h141_bestv2/4JmAAUKIjsnqJtEVJ4O6Y8ennn8.jpg,"11월 17, 2017","범죄자들의 손에 가족을 잃은 전직 해병. 그가 세상에 나왔다, 스스로 정의가 되어 악인을 응징하고자. 아무리 거대한 권력이 나서도, 그의 복수를 막을 자, 세상에 없다."
40,40,블랙 미러,/t/p/w94_and_h141_bestv2/ej7Br2B8dkZZBGa6vDE8HqATgU7.jpg,"12월  4, 2011","2011년 12월 Channel 4에서 방영을 시작한 SF 옴니버스 드라마. 만약 기술이 마약이나 마찬가지이고 사용되기도 마약 같이 사용되고 있다면 그에 따른 부작용은 무엇인가? 불안함과 즐거움 사이의 모호한 존재가 바로 블랙 미러다. 검은 거울은 모든 벽과 책상에 있고 모든 사람의 손바닥에 있다: 차갑고 번쩍거리는 텔레비전 화면, 모니터, 스마트폰이 바로 검은 거울이다. 가까운 미래의 첨단 기술이 인간의 욕망을 실현해 주면서 벌어지는 특별한 상황들을 어두운 상상력으로 풀어낸다."
41,41,칼레이도스코프,/t/p/w94_and_h141_bestv2/2nXJoSB5Y6R9ne7pjqL7Cs3zqY1.jpg,"1월  1, 2023","베테랑 도둑이 이끄는 강도단이 70억 달러 상당의 초대형 강도 작전을 감행한다. 하지만 치밀하게 세운 계획은 배신과 탐욕, 각종 위협의 등장으로 궤도를 벗어나기 시작하는데."
42,42,마블 데어데블,/t/p/w94_and_h141_bestv2/4fcJKU6p3ZwbryRyblZXDcBtY0f.jpg,"4월 10, 2015","2015년 4월 Netflix에서 방영을 시작한 드라마. 1990년대 초 맷 머독이라는 아홉 살 소년이 이 길거리에서 어느 노인을 구하려다 눈이 화학물질에 노출되어 시력을 잃게 된다. 대신 다른 감각들이 극도로 발달하게 되고, 그로 인해 고통받다가 스틱이라 불리는 노인에게 감각을 통제하는 방법과 무술을 배우게 된다. 머독은 로스쿨 졸업 후 랜드맨 & 잭 로펌에서 일하다 고향인 뉴욕 헬스 키친에 친우 포기 넬슨과 함께 변호사 사무실을 차리게 되고 낮에는 변호사, 밤에는 슈퍼 히어로 데어데블이 되어 뉴욕 헬스키친의 불의에 맞서 악당과의 고독한 싸움을 계속한다."
43,43,나는 신이다: 신이 배신한 사람들,/t/p/w94_and_h141_bestv2/ujF2mzHVQU5KCPChgOL397t2nsT.jpg,"3월  3, 2023",스스로를 예언자라고 천명한 네 명의 ‘메시아'. 그리고 절대적인 믿음 뒤에 숨겨진 어두운 단면. 대한민국을 뒤흔든 충격적인 실제 사건을 조명한 다큐시리즈.
44,44,라 프리메라 베스,/t/p/w94_and_h141_bestv2/d8kQqwZYcsryQxL8a0luFSLZSdV.jpg,"2월 15, 2023",1970년대 콜롬비아. 남학생뿐인 학교에 등장한 수수께끼의 십 대 소녀. 고정관념과 규칙은 물론이고 여럿의 마음까지 허물어뜨린다.
45,45,격투맨 바키,/t/p/w94_and_h141_bestv2/diySGgcj1xikHU7ACEugcvW88WQ.jpg,"6월 26, 2018",악명 높은 사형수 5명이 탈출한 뒤 도쿄에 집결한다. 이들이 노리는 것은 17살 소년 한마 바키. 지하 투기장의 최강 격투가인 바키는 원치 않는 혈투에 휘말린다.
46,46,기예르모 델토로의 호기심의 방,/t/p/w94_and_h141_bestv2/peLyYUqUYxZHFtmvO6AINjs2FJY.jpg,"10월 25, 2022",숨 막히는 영상미에 등골 서늘한 호러를 더한 기예르모 델토로의 호러 컬렉션. 기괴한 악몽이 펼쳐지는 여덟 편의 이야기를 만나보시라.
47,47,엄브렐러 아카데미,/t/p/w94_and_h141_bestv2/UBhjjSojL8z2ThtitnyWaKM8nq.jpg,"2월 15, 2019","초능력을 가진 남매들이 아버지의 장례식에서 다시 모인다. 그들 앞에 드러나는 가족의 비밀과 인류의 미래. 종말을 막아야 한다. 애증을 접고, 모두 손을 잡아라."
48,48,오자크,/t/p/w94_and_h141_bestv2/foEJkjDiORCDj8afsSmzqq04rBE.jpg,"7월 21, 2017","시카고의 잘나가는 재무 컨설턴트 마티는 가족과 함께 미주리 주 오자크로 이사한다. 목적은 하나, 파트너가 횡령한 마약 조직의 돈 5억 달러를 돈세탁하는 것."
49,49,사이버펑크: 엣지러너,/t/p/w94_and_h141_bestv2/5GrYF4dzKqlG8qcABlBC93zY7ny.jpg,"9월 13, 2022","부패와 사이보그 임플란트로 가득한 디스토피아 세상. 재능은 넘치지만 무모한 길거리 소년이 무법의 용병, 엣지러너가 되기 위해 사투를 벌인다."
50,50,더 크라운,/t/p/w94_and_h141_bestv2/5qCMNVE5iIGiGnmkNqJGYMdTcqE.jpg,"11월  4, 2016","2016년 11월 Netflix에서 방영을 시작한 대하 드라마. 영국 엘리자베스 2세의 재위 중 펼쳐진 정치적 투기와 로맨스, 그리고 20세기 후반 세계의 지각을 형성한 사건들을 엮어낸 드라마. 제2차 세계대전 후 대영제국의 해는 저물고 전쟁의 상흔을 이겨내고자 고군분투하던 영국. 그 중심에 선 한 여인이 욕망이 아닌 순전히 의무에 의해 왕위에 오르는데..."
51,51,소닉 프라임,/t/p/w94_and_h141_bestv2/lMqruIEov5PSA7eu8mF0I4IiKda.jpg,"12월 15, 2022",소닉과 닥터 에그맨의 격돌로 산산이 조각난 우주. 이제 소닉은 여러 평행 차원을 질주하며 친구들과 다시 만나고 세상을 구해야 한다.
52,52,파우다: 혼돈,/t/p/w94_and_h141_bestv2/iTZX0noHJMYLhNHNj7r97mm9Zi.jpg,"2월 15, 2015",이스라엘 방위군의 요원 도론. 손수 제거하고 마음 편히 퇴직까지 하게 만든 하마스의 핵심 멤버가 살아 있다! 놈을 잡을 절호의 기회를 놓치지 않고 그가 복귀하면서 숨 가쁜 접전이 펼쳐진다. 피와 보복의 대혼돈이.
53,53,겐간 아슈라,/t/p/w94_and_h141_bestv2/u6MpSEaUlDEv7KCn49aHhtTQ43L.jpg,"7월 31, 2019",기업 간의 분쟁을 맨몸의 승부로 해결한다. 그 비밀스러운 세계로 들어간 도키타 오마. 하지만 그가 원하는 건 돈이 아니다. 단지 싸우고 싶을 뿐. 그는 승리를 갈망한다.
54,54,검은 욕망,/t/p/w94_and_h141_bestv2/qh4Br7iLf0SAYnF4mqE1PjUXTra.jpg,"7월 15, 2020","교수로, 판사의 아내로, 완벽한 삶을 꾸려온 여인. 어느 주말, 그녀의 일상이 흔들리기 시작한다. 하룻밤의 일탈로 끝날 줄 알았던 부정, 그리고 갑작스러운 의문의 죽음. 보이지 않는 수면 아래, 그곳엔 어떤 진실이 감춰져 있나."
55,55,더 리크루트,/t/p/w94_and_h141_bestv2/mLbFg0u2DPYuB5CILzwWk3kdI8b.jpg,"12월 16, 2022",CIA의 신출내기 변호사가 위험천만한 스파이의 세계에 휘말린다. 한때 CIA와 협력했던 자가 조직의 비밀을 밝히겠다고 협박했기 때문인데...
56,56,90년대쇼,/t/p/w94_and_h141_bestv2/nZcufEuqZqNYMx6mNjlh2rmjDqx.jpg,"1월 19, 2023","손녀 레이아가 위스콘신에서 여름을 보내기로 하면서, 키티 포먼과 레드 포먼은 차세대 10대들에게 지하실을 내준다."
57,57,나르코스,/t/p/w94_and_h141_bestv2/uAofYGxO3pPWpwhUfRzkXGuMjvj.jpg,"8월 28, 2015","2015년 8월 Netflix에서 방영을 시작한 범죄수사물.  콜롬비아의 에스코바르와 로스 페페스는 세계 최대의 마약 제국을 건설하고 미국의 공공의 적이 된다. 그리고 이들을 잡기 위해 미국 마약단속국 DEA 요원 스티븐 머피와 하비에르 페냐가 작전에 투입된다. 카르텔과 양국 정부의 피비린내 나는 전쟁, 이것은 실화다."
58,58,Machos alfa,/t/p/w94_and_h141_bestv2/gFUIwwEH8MBrQ3d2QpSGGDEZiKP.jpg,"12월 30, 2022",정보 없음
59,59,지정생존자,/t/p/w94_and_h141_bestv2/yv0cn62T6lJL9HGqwIyKuoiUTu5.jpg,"9월 21, 2016",무자비한 폭탄 테러로 삽시간에 아수라장이 된 워싱턴. 주목받지 못하던 장관 톰 커크먼이 혼돈의 정부를 책임지고 나아가는 수밖에 없다. 사상 최악의 위기에 빠진 미합중국을 무사히 이끌어야 할 막중한 책임이 그에게 주어진다.
60,60,로맨틱 킬러,/t/p/w94_and_h141_bestv2/kErYzkgelIHQMxLFGnnvlMVJnTE.jpg,"10월 27, 2022",연애와 완전히 담을 쌓은 채 최고의 솔로 라이프를 만끽하는 안즈. 하지만 인연을 맺어주는 마법사 요정이 나타나 안즈의 일상을 흔해 빠진 로맨틱 코미디로 바꾸어 놓는다.
61,61,오렌지 이즈 더 뉴 블랙,/t/p/w94_and_h141_bestv2/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg,"7월 11, 2013",2013년 7월 Netflix에서 방영을 시작한 감옥 드라마. 파이퍼 커먼이 자신의 여성 교도소에서의 경험을 쓴 회고록 Orange Is the New Black: My Year in a Women's Prison을 원작으로 한다. 뉴욕에 살던 파이퍼 채프먼(테일러 실링)은 유대인 약혼자를 둔 평범한 뉴욕 시민이었다. 그러나 어느 날 과거 자신의 애인 알렉스(로라 프리폰) 때문에 마약을 운반했던 전력이 누군가의 밀고로 인해 드러나면서 15개월 간의 징역살이를 하게 된다. 그리고 파이퍼는 그 감옥 안에서 과거 자신의 연인이자 감옥으로 오게 된 원인인 알렉스와 재회하게 되는데...
62,62,เป็นต่อ,/t/p/w94_and_h141_bestv2/3pCGtGxRjxY9ZBfoCVh3gLhc5Fy.jpg,"10월  7, 2004",정보 없음
63,63,바쿠간 배틀 플래닛,/t/p/w94_and_h141_bestv2/g89Q4S4QQXTSClE8vva5LaxMIHz.jpg,"12월 23, 2018","주인공이 신비의 행성이 지구에 충돌했었던 장소에서 용의 모습을 한 바쿠간을 만나게 되고, 함께 각지에서 일어나는 사건들을 해결해나가는 이야기를 그린 애니메이션"
64,64,F1: 본능의 질주,/t/p/w94_and_h141_bestv2/bTvsFzYK4ZdbcAIPSEJ3i8uLHSh.jpg,"3월  8, 2019","2019년 3월 Netflix에서 방영을 시작한 다큐멘터리. 가장 빠른 자가 살아남는 세계, 포뮬러 원. 그 화려한 트랙 안팎의 치열한 풍경이 모습을 드러낸다. 최첨단 자동차, 최고의 속도, 화려한 테크닉. 이 모든 것은 그저 일부일 뿐이다. 1년 내내 전 세계에서 개최되는 레이스를 따라 서킷 안팎을 질주하는 드라이버와 팀원들. 위험한 경주에 도전하는 드라이버들과 그들 뒤에 있는 팀원 및 가족들의 모습까지, 이제껏 본 적 없는 서킷 뒤의 모습을 독점 공개한다. 지금부터 포뮬러 원의 진짜 경주가 공개된다."
65,65,루머의 루머의 루머,/t/p/w94_and_h141_bestv2/eDGB58IxMZsQ6F7cpr8IbgUuqk6.jpg,"3월 31, 2017","친구의 비극적인 자살 후, 미스터리한 일들이 연이어 일어난다. 가슴 아픈 사건들의 중심에 서는 클레이 젠슨. 고등학생이 감당하기에는 너무 힘겨운 시간을 보낸다."
66,66,외모지상주의,/t/p/w94_and_h141_bestv2/pPMQ3lqLrQiCDGlGsbjQ2rc2ZWu.jpg,"12월  8, 2022","외모지상주의가 팽배한 사회에서, 못생겼다고 따돌림을 받던 한 고등학생. 어느 날부터 정반대의 외모를 가진 두 신체를 번갈아 사용하게 되며 이중생활을 시작한다."
67,67,빅 마우스,/t/p/w94_and_h141_bestv2/dW3LxhCQyHWFzDB8vDtABvintET.jpg,"9월 29, 2017","오, 놀랍고 위대한 사춘기여! 10대들의 삶을 완전히 뒤흔드는구나! 닉 크롤과 앤드루 골드버그 콤비가 사이좋게 만들었다, 재기발랄 사춘기 예찬 코미디."
68,68,브리저튼,/t/p/w94_and_h141_bestv2/a80pxtZrNSyqrME9rmFC6sZevZ7.jpg,"12월 25, 2020",진실한 애정과 끈끈한 유대로 맺어진 브리저튼 가문의 8남매. 그들이 런던의 상류사회에서 사랑과 행복을 향한 여정을 떠난다.
